path,status,source,reason
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/docs/SECURITY_AND_POLICY.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/docs/SEQUENTIAL_HANDOFF_WORKFLOW.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/docs/UPGRADE_PATHS.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/mcp/MCP_SAFETY.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/mcp/mcp-config-template.json,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/memory/AGENT_RUN_LOG.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/memory/DECISIONS.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/memory/GOTCHAS.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/memory/PROJECT_MEMORY.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/memory/checkpoints/.gitkeep,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/orchestrators/langgraph_sequential.py,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/prompts/browser-lead-orchestrator-prompt.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/prompts/builder-agent-sequential.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/prompts/copilot-cloud-agent-task-prompt.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/prompts/debugger-agent-sequential.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/prompts/docs-memory-agent-sequential.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/prompts/fresh-context-review-prompt.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/prompts/m365-requirements-to-github-issues-prompt.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/prompts/planner-agent-sequential.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/prompts/reviewer-agent-sequential.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/prompts/test-agent-sequential.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/scripts/create-agent-worktrees.sh,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/scripts/create-sequential-issue.sh,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/scripts/init-labels.sh,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/scripts/verify-kit.sh,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/templates/agent-run-scorecard.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/templates/agent-state-template.yml,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/templates/checkpoint.yml,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/templates/cost-log.yml,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/templates/debug-escalation-report.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/templates/definition-of-done.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/templates/file-ownership-map.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/templates/handoff-packet.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/templates/incident-report.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/templates/merge-checklist.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/templates/retry-policy.yml,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/multi-agent-orchestration-kit-v4/templates/sequential-issue-template.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/.aider.conf.yml,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/.claude/agents/codebase-mapper.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/.claude/agents/reviewer.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/.claude/settings.json,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/.claude/skills/code-review.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/.claude/skills/debug-one-bug.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/.claude/skills/research-to-code.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/.claudeignore,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/.clinerules,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/.cursorrules,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/.github/ISSUE_TEMPLATE/bug-report.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/.github/ISSUE_TEMPLATE/coding-task.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/.github/copilot-instructions.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/.github/instructions/frontend.instructions.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/.github/instructions/tests.instructions.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/.gitignore-additions.txt,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/AGENTS.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/AGENT_CONTEXT_EXCLUDE.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/AUDIT_REPORT.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/CLAUDE.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/CONVENTIONS.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/GEMINI.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/INSTALL.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/README.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/SOURCE_NOTES.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/TOKEN_POLICY.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/docs/ARCHITECTURE_MAP.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/docs/CONTEXT_BUDGET.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/docs/DECISIONS.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/docs/GOTCHAS.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/docs/GRAPH_MEMORY_OPTION.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/docs/MODEL_ROUTING.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/docs/PROJECT_BRIEF.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/docs/PROJECT_MEMORY.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/docs/RESEARCH_PROTOCOL.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/docs/SESSION_SUMMARY.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/docs/SUBAGENT_PROTOCOL.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/docs/TASK_HANDOFF.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/docs/TEST_COMMANDS.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/docs/TOKEN_LOG.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/guide/CROSS_ANALYSIS_v3_to_v4.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/guide/README.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/scripts/verify-token-kit.sh,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/templates/bugfix-prompt.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/templates/compaction-prompt.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/templates/fresh-chat-starter.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/templates/handoff-prompt.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/templates/refactor-prompt.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/templates/research-prompt.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/templates/review-prompt.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/templates/task-prompt.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/token-efficiency-agent-os-v4/token-efficiency-agent-os-v4/token-efficiency-protocol-v4.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/.editorconfig,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/.env.example,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/.github/workflows/ungasis-readiness-ci.yml,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/07_PRODUCTION_READINESS_SECURITY_QA.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/08_AGENT_EVALS_AND_RUNTIME_GOVERNANCE.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/09_CONNECTOR_PERMISSION_REGISTRY.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/10_OBSERVABILITY_AND_INCIDENT_RESPONSE.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/11_SCHEMA_CONTRACT_SYSTEM.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/12_RELEASE_AND_ROLLBACK.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/13_SUPPLY_CHAIN_SECURITY.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/CHANGELOG.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/CODEOWNERS,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/CONTRIBUTING.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/LICENSE_TEMPLATE.txt,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/OS_UPDATE_RECOMMENDATION.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/README.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/SECURITY.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/SUPPORT.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/VERSION_MANIFEST_PATCH.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/config/connector-registry.example.yml,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/config/permission-profiles.yml,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/config/readiness-levels.yml,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/docs/CONNECTOR_REGISTRY.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/docs/DECISION_LOG.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/docs/EVAL_HARNESS_GUIDE.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/docs/INCIDENT_RESPONSE.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/docs/KNOWN_GAPS.md,Backup,original zip backup,Preserved for safety and traceability.
02_EXTRACTED_ORIGINALS_READ_ONLY/ungasis-production-readiness-pack-v1/ungasis-production-readiness-pack-v1/02_COPY_TO_YOUR_PROJECT_ROOT/docs/LEARNER_HOW_TO.md,Backup,original zip backup,Preserved for safety and traceability.
