file,root_type,wrapper_key,record_count,top_level_keys,record_keys,sha256,bytes
wr_champions_corrections.json,dict,champions_to_add,9,"meta,champions_to_add,champions_to_remove",id:9;name:9;category:9;subcategory:9;title:9;classes:9;roles:9;resource:9;range_type:9;difficulty:9;tags:9;abilities:9;brief:9;full:9;embedding_text:9;power_spikes:9;best_with:9;countered_by:9;strong_against:9;graph_node:9;graph_edges:9;gnn_features:9;realtime:9;features:9;events:9;rules:9;time_series:9,9b500fddb16c6b16cd955b6809077801203ce3d4e1bd52f7e9f0017f242facbc,85263
wr_champions_part1.json,dict,champions,34,"meta,champions",id:34;name:34;category:34;subcategory:34;title:34;classes:34;roles:34;resource:34;range_type:34;difficulty:34;tags:34;abilities:34;brief:34;full:34;embedding_text:34;power_spikes:34;best_with:34;countered_by:34;strong_against:34;graph_node:34;graph_edges:34;gnn_features:34;realtime:34;features:34;events:34;rules:34;time_series:34,065a4916ad668e874f6cd1d79b1cd56c502a92821bf7b9d6a4ac08e31e70333c,417598
wr_champions_part2.json,dict,champions,41,"meta,champions",id:41;name:41;category:41;subcategory:41;title:41;classes:41;roles:41;resource:41;range_type:41;difficulty:41;tags:41;abilities:41;brief:41;full:41;embedding_text:41;power_spikes:41;best_with:41;countered_by:41;strong_against:41;graph_node:41;graph_edges:41;gnn_features:41;realtime:41;features:41;events:41;rules:41;time_series:41,7360ac88b6db91a637d049059340ce13111aa0a87b2b394488ec5eaf1e6779a0,390727
wr_champions_part3.json,dict,champions,56,"meta,champions",id:56;name:56;category:56;subcategory:56;title:56;classes:56;roles:56;resource:56;range_type:56;difficulty:56;tags:56;abilities:56;brief:56;full:56;embedding_text:56;power_spikes:56;best_with:56;countered_by:56;strong_against:56;graph_node:56;graph_edges:56;gnn_features:56;realtime:56;features:56;events:56;rules:56;time_series:56,cb8560de1ea31b08034440b46bb60064a686dd12c8da643320843e653200c901,525819
wr_counters_items_runes.json,dict,item_counters,12,"meta,item_counters,rune_counters",counter_category:12;description:12;triggers:12;items:12;strategy_notes:3;champion_counters:1,3d9a43c0cfc6685fe69a911c8bc6efa8b6e36f7be01bfa1af913c2a16e6bf2c1,28321
wr_matchups_adc.json,dict,matchups,22,"meta,matchups",champion_id:22;role:22;strong_against:22;weak_against:22,4fb1837328769ff01f9f53d6851b961dbfd8781622cb4718cf495270975af6b0,54430
wr_matchups_baron.json,dict,matchups,27,"meta,matchups",champion_id:27;role:27;strong_against:27;weak_against:27,4871996f791f0643af7ea70b9cb83c1982af82dfcb2f01855afe057e9f78d2c1,70932
wr_matchups_mid.json,dict,matchups,28,"meta,matchups",champion_id:28;role:28;strong_against:28;weak_against:28,11f70649da5562e93f9c9615e00dcca2a89db63bae9b27834c114dfd7efc5edd,69303
wr_matchups_support.json,dict,matchups,26,"meta,matchups",champion_id:26;role:26;strong_against:26;weak_against:26,ac2738f629beaa635c37594f91042027d97684593e470a51acf4238f30a0d4f3,71388
wr_meta.json,dict,meta_archetypes,8,"meta,tier_list,meta_archetypes,patch_history",name:8;description:8;core_champions:8;win_condition:8;counter:8;estimated_win_rate:8;strength:8,36e219949759bcd975015d0756b92fd149bc7557be0ef1f84fa1c6667792360c,36199
wr_runes.json,dict,keystones,13,"meta,keystones,paths",id:13;name:13;category:13;subcategory:13;rune_type:13;path_independent:13;tags:13;brief:13;full:13;embedding_text:13;graph_node:13;graph_edges:13;gnn_features:13;realtime:13;features:13;events:13;rules:13;time_series:13,7cf654cc2547ef28ebcbef77b94a60ce7fd64883fedb9837a772b8c21d596628,321303
wr_spells.json,dict,spells,10,"meta,spells",id:10;name:10;category:10;subcategory:10;tags:10;cooldown:10;best_for:10;synergy_tags:10;brief:10;full:10;embedding_text:10;graph_node:10;graph_edges:10;gnn_features:10;realtime:10;features:10;events:10;rules:10;time_series:10,94123a093c811ceffa24e8ce49048da3be6fa0f8f4a82f701757714814cbfec0,54918
wr_synergies_adc.json,dict,synergies,22,"meta,synergies",champion_id:22;role:22;best_with:22;anti_synergy:22,4430febad8bb95de3f16fba0070d31bb3c48188c4616fcf0cc203a5412d18719,39911
wr_synergies_baron.json,dict,synergies,27,"meta,synergies",champion_id:27;role:27;best_with:27;anti_synergy:27,c9993fc83b7c6a7827de1ef6a31953da70b54a15721814a907e0475c6e29290d,33445
wr_synergies_mid.json,dict,synergies,28,"meta,synergies",champion_id:28;role:28;best_with:28;anti_synergy:28,c49b2e24c768a775213e5d8f46eca2dd0a18cb84994d7b0eb966eb18362ec481,35298
wr_synergies_support.json,dict,synergies,26,"meta,synergies",champion_id:26;role:26;best_with:26;anti_synergy:26,6c2b356f0ed66e4a84f52629139a7504392e0a87f89ef9e57107519e2cdafe61,46626
