file,module
app/page.tsx,@/components/ui/badge
app/page.tsx,@/components/app/motion-card
app/page.tsx,@/components/app/stagger-grid
app/review/page.tsx,react
app/review/page.tsx,next/link
app/runes/page.tsx,react
app/runes/page.tsx,@/components/ui/card
app/runes/page.tsx,@/components/ui/badge
app/runes/page.tsx,@/components/ui/input
app/runes/page.tsx,@/lib/utils
app/runes/page.tsx,@/lib/use-game-data
app/runes/page.tsx,@/components/app/smart-image
app/runes/page.tsx,@/components/app/stagger-grid
app/runes/page.tsx,@/components/app/shimmer
app/runes/page.tsx,framer-motion
app/settings/page.tsx,react
app/settings/page.tsx,next/link
app/settings/page.tsx,@/lib/smart-router
app/spells/page.tsx,react
app/spells/page.tsx,@/components/ui/card
app/spells/page.tsx,@/components/ui/badge
app/spells/page.tsx,@/lib/use-game-data
app/spells/page.tsx,@/components/app/smart-image
app/spells/page.tsx,@/components/app/motion-card
app/spells/page.tsx,@/components/app/stagger-grid
app/spells/page.tsx,@/components/app/shimmer
app/synergy/page.tsx,react
app/synergy/page.tsx,@/components/ui/card
app/synergy/page.tsx,@/components/ui/badge
app/synergy/page.tsx,@/components/ui/input
app/synergy/page.tsx,@/lib/utils
app/synergy/page.tsx,@/lib/use-game-data
app/synergy/page.tsx,@/components/app/hex-portrait
app/synergy/page.tsx,@/components/app/motion-card
app/synergy/page.tsx,@/components/app/stagger-grid
app/synergy/page.tsx,@/components/app/shimmer
app/synergy/page.tsx,framer-motion
app/tierlist/loading.tsx,@/components/ui/card
app/tierlist/page.tsx,react
app/tierlist/page.tsx,@/components/ui/input
app/tierlist/page.tsx,@/components/ui/card
app/tierlist/page.tsx,@/components/ui/dialog
app/tierlist/page.tsx,@/lib/utils
app/tierlist/page.tsx,@/lib/use-game-data
app/tierlist/page.tsx,@/components/app/hex-portrait
app/tierlist/page.tsx,@/components/app/tier-badge
app/tierlist/page.tsx,@/components/app/motion-card
app/tierlist/page.tsx,@/components/app/stagger-grid
app/tierlist/page.tsx,@/components/app/shimmer
components/app/app-shell.tsx,react
components/app/app-shell.tsx,next/link
components/app/app-shell.tsx,next/navigation
components/app/app-shell.tsx,lucide-react
components/app/app-shell.tsx,@/components/ui/sheet
components/app/app-shell.tsx,@/lib/utils
components/app/app-shell.tsx,./sidebar
components/app/app-shell.tsx,./theme-toggle
components/app/app-shell.tsx,./animated-background
components/app/hex-portrait.tsx,react
components/app/hex-portrait.tsx,@/lib/utils
components/app/hex-portrait.tsx,@/lib/slug-normalizer
components/app/markdown-message.tsx,react
components/app/markdown-message.tsx,react-markdown
components/app/markdown-message.tsx,remark-gfm
components/app/markdown-message.tsx,@/lib/utils
components/app/motion-card.tsx,react
components/app/motion-card.tsx,framer-motion
components/app/motion-card.tsx,@/lib/utils
components/app/page-transition.tsx,react
components/app/page-transition.tsx,framer-motion
components/app/page-transition.tsx,next/navigation
components/app/shimmer.tsx,@/lib/utils
components/app/sidebar.tsx,react
components/app/sidebar.tsx,next/link
components/app/sidebar.tsx,next/navigation
components/app/sidebar.tsx,@/components/ui/scroll-area
components/app/sidebar.tsx,@/components/ui/button
components/app/sidebar.tsx,@/lib/utils
components/app/sidebar.tsx,./theme-toggle
components/app/smart-image.tsx,react
components/app/smart-image.tsx,@/lib/utils
components/app/smart-image.tsx,@/lib/slug-normalizer
components/app/stagger-grid.tsx,react
components/app/stagger-grid.tsx,framer-motion
components/app/stagger-grid.tsx,@/lib/utils
components/app/theme-provider.tsx,react
components/app/theme-provider.tsx,next-themes
components/app/theme-toggle.tsx,react
components/app/theme-toggle.tsx,next-themes
components/app/theme-toggle.tsx,lucide-react
components/app/theme-toggle.tsx,@/components/ui/button
components/app/theme-toggle.tsx,@/lib/utils
components/app/tier-badge.tsx,@/lib/utils
components/build/BuildInsights.tsx,framer-motion
components/build/BuildOrder.tsx,framer-motion
components/build/BuildView.tsx,react
components/build/BuildView.tsx,framer-motion
components/build/BuildView.tsx,./CoreItemsTable
components/build/BuildView.tsx,./SituationalItemsTable
components/build/BuildView.tsx,./RuneList
components/build/BuildView.tsx,./SpellList
components/build/BuildView.tsx,./PowerCurve
components/build/BuildView.tsx,./StatsBlock
components/build/BuildView.tsx,./ProsCons
components/build/BuildView.tsx,./GlassCard
components/build/BuildView.tsx,./GoldEfficiency
components/build/BuildView.tsx,./BuildInsights
components/build/BuildView.tsx,./ReasoningStatus
components/build/BuildView.tsx,./SynergyChamps
components/build/BuildView.tsx,./MatchupList
components/build/BuildView.tsx,./CounterStrategy
components/build/BuildView.tsx,@/hooks/useReasoning
components/build/BuildView.tsx,./BuildOrder
components/build/BuildView.tsx,./VariantBadge
components/build/ChampionAbilities.tsx,framer-motion
components/build/ChampionAbilities.tsx,@/types/reasoning
components/build/CoreItemsTable.tsx,framer-motion
components/build/CounterStrategy.tsx,framer-motion
components/build/GlassCard.tsx,framer-motion
components/build/GlassCard.tsx,react
components/build/MatchupList.tsx,framer-motion
components/build/ProsCons.tsx,framer-motion
components/build/ReasoningStatus.tsx,framer-motion
components/build/RuneList.tsx,framer-motion
components/build/SituationalItemsTable.tsx,framer-motion
components/build/SpellList.tsx,framer-motion
components/build/SynergyChamps.tsx,framer-motion
components/build/VariantBadge.tsx,framer-motion
components/ui/badge.tsx,@base-ui/react/merge-props
components/ui/badge.tsx,@base-ui/react/use-render
components/ui/badge.tsx,class-variance-authority
components/ui/badge.tsx,@/lib/utils
components/ui/button.tsx,@base-ui/react/button
components/ui/button.tsx,class-variance-authority
components/ui/button.tsx,@/lib/utils
components/ui/card.tsx,react
components/ui/card.tsx,@/lib/utils
components/ui/dialog.tsx,react
components/ui/dialog.tsx,@base-ui/react/dialog
components/ui/dialog.tsx,@/lib/utils
components/ui/dialog.tsx,@/components/ui/button
components/ui/dialog.tsx,lucide-react
components/ui/input.tsx,react
components/ui/input.tsx,@base-ui/react/input
components/ui/input.tsx,@/lib/utils
components/ui/scroll-area.tsx,react
components/ui/scroll-area.tsx,@base-ui/react/scroll-area
components/ui/scroll-area.tsx,@/lib/utils
components/ui/sheet.tsx,react
components/ui/sheet.tsx,@base-ui/react/dialog
components/ui/sheet.tsx,@/lib/utils
components/ui/sheet.tsx,@/components/ui/button
components/ui/sheet.tsx,lucide-react
components/ui/skeleton.tsx,@/lib/utils
components/ui/tabs.tsx,@base-ui/react/tabs
components/ui/tabs.tsx,class-variance-authority
components/ui/tabs.tsx,@/lib/utils
components/ui/tooltip.tsx,@base-ui/react/tooltip
components/ui/tooltip.tsx,@/lib/utils
hooks/useReasoning.ts,react
lib/build-engine.ts,./relationship-engine
lib/build-engine.ts,fs
lib/build-engine.ts,path
lib/build-modifier.ts,fs
lib/build-modifier.ts,path
lib/context-assembler.ts,fs
lib/context-assembler.ts,path
lib/context-builder.ts,@/types/game
lib/intent-extractor.ts,../data/build-variants
lib/rag-retriever.ts,fs
lib/rag-retriever.ts,path
lib/rag-retriever.ts,./task-classifier
lib/reasoning-enricher.ts,fs/promises
lib/reasoning-enricher.ts,path
lib/reasoning-validator.ts,@/types/reasoning
lib/relationship-engine.ts,fs
lib/relationship-engine.ts,path
lib/use-game-data.ts,react
lib/utils.ts,clsx
lib/utils.ts,tailwind-merge
stores/chat-store.ts,zustand
stores/chat-store.ts,zustand/middleware
stores/settings-store.ts,zustand
stores/settings-store.ts,zustand/middleware
